;base_value;screen_on;usage;voltage;network_status_disconnected;screen_brightness;up_time;system_size_partition_busy;temperature;whatsapp_0;network_status_hspap;network_status_WIFI;battery_level;network_status_lte;google play store_1;ram_busy_percent;samsung push service_1;com.google.android.googlequicksearchbox:interactor_0;network_status_0;com.facebook.lite:fbns_0;com.google.android.googlequicksearchbox:search_0;shareit_0;com.instagram.android:mqtt_0;lite_0;user_storage_busy_percent;bluetooth share_1;messenger_0;google backup transport_1;google play música_1;system ui_1;google play services_1;com.lenovo.anyshare.gps:transfer_0;com.facebook.orca:videoplayer_0;com.sec.spp.push:remotedlcprocess_0;youtube_1;google play music_1;network_status_disconnecting;beaconmanager_1;com.samsung.android.email.provider:service_0;location_enabled;power_saver_enabled;com.facebook.katana:videoplayer_0;fused location_1;roaming_enabled;ims service_1;com.instagram.android:videoplayer_0;battery double_0;org.simalliance.openmobileapi.service:remote_0;com.sec.phone_1;com.android.chrome:privileged_process0_0;com.android.systemui.recents_0;bluetooth_enabled;layanan google play_1;network_status_edge;developer_mode;network_status_hsupa;network_status_utms;secvideoengineservice_1;health_Good;bootagent_1;health_Unknown;csc_1;nfc_enabled;health_Unspecifiedfailure;os_version_6.0.1;network_status_gprs;network_status_hsdpa;battery analytics_0;facebook_0;com.facebook.katana:notification_0;android services library_1;batteryhub_0;os_version_7.1.2;com.qualcomm.qti.tetherservice_1;os_version_5.1.1;com.google.android.gms.persistent_0;network_status_hspa;com.android.smspush_1;com.qualcomm.qcrilmsgtunnel_1;network_status_19;os_version_5.1;os_version_6.0;context service_1;bluetooth_1;com.android.systemui.imagewallpaper_0;os_version_5.0.1;os_version_4.4.2;os_version_5.0.2;os_version_4.3;os_version_4.2.2;os_version_7;com.qualcomm.atfwd_1;network_status_ehrpd;network_status_connecting;network_status_1xrtt;health_Overheat;network_status_evdo_a;os_version_4.4.4;network_status_30;os_version_10.1.2;os_version_5;network_status_16;os_version_6;os_version_4.1.2;os_version_7.1.1;health_Overvoltage;os_version_4.1.1;os_version_9.0.1;network_status_17;os_version_7.1;os_version_5.0
SM-G532F;261.9667176666667;27.061563358265627;13.171903729830746;11.237007480861466;6.154036938525801;4.299746202657526;3.6703442623573648;3.536312812069253;2.072746522759484;1.7798104598694169;1.563863311164038;1.5118271772079857;1.397189958956573;1.3555362841202871;1.215474185617267;1.1810073365848575;0.83010231497899;0.8015269336170214;0.6088528975709763;0.5028439228086343;0.4762765882057437;0.4651302909375584;0.31437679712771155;0.3031482637350631;0.3016445950651447;0.2470047718412395;0.24285079769636778;0.22976760153591755;0.20173634181869093;0.19342133694948585;0.19082089076237854;0.18260274580873084;0.13812749309851766;0.13594002798143567;0.12681671593358512;0.12450601861865637;0.1242690997343833;0.11531762662137457;0.10075299220913034;0.10045782467731171;0.09760850658912222;0.09258409200596326;0.08816147462176985;0.08565746476762601;0.07476509763643058;0.0562907905260362;0.05074669451812377;0.04984249286741491;0.0361016054401962;0.03423702374125897;0.029389341318035347;0.026553604754409002;0.01429410077762469;0.012563603070476803;0.005278562157718714;0.002861293003669718;0.001931381700808987;0.0013740615717534044;0.0007333074189304656;0.000586534358474761;0.00015571066122600623;0.00010472353664360421;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Redmi Note 3;155.4264566666667;24.249448828142203;2.52803828144649;10.645831158334008;0.26910791184527655;3.9247195803683126;0.836240661243331;10.568294669315838;5.013019550838927;0.24169112725111164;0.023333127540331476;0.9673307217389169;1.1792737131448563;0.39676773416309713;0.6118505965609096;1.486669539861813;;0.7876918987190906;3.063035751391127e-05;0.24842688316163694;5.244956577856856;0.22570910353709606;0.05206119111586292;0.05789297888732344;3.537086809240599;0.11269321723473597;4.079759387238958;2.384479316713412;0.24612715680895775;0.9313519992599744;0.7494221643600105;0.7845847952422266;0.7067257553391935;;0.011055101401428673;0.24772682717506542;0.006791104103952549;;;0.2677444720176135;0.02001163138672688;0.19936744753505364;0.1113490897058947;0.0;;0.13184289942335684;1.2966148851637236;0.7736695319943862;;0.7028925208742677;;0.026607285452536246;0.22117767277708558;0.015749478672730435;0.16223355936520925;;0.0;;0.07882931008074323;;0.09010786914689889;;0.0;;0.7145398341731477;6.314067875982093e-05;0.0;5.814798983883142;3.507062732679173;0.5432445647912054;0.2251482654169135;0.1495212425669676;0.0683119796017849;0.028275570539578927;0.01100863698688705;0.009336980977351177;0.004071712035509136;0.000635096960216844;6.108549818347145e-05;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S5E_NXT;126.89699999999999;26.07910285397711;2.8702141222603377;70.13731719111911;4.419534018841099;7.783184923902403;7.999412444738609;5.0273653651228685;0.0;6.335416304506236;0.0;0.0;25.945157669551016;;0.0;1.8138677900113707;;0.0;0.0;7.055638213617351;0.0;0.0;0.0;0.0;3.6952357830337244;;0.0;0.0;;;;0.0;0.0;;;;;;;0.6306445775055534;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.13245818717115115;0.0;;1.0883138156906156;;0.0;;;;0.0;;;0.0;0.0;0.0;2.601471789648257;;;;;;;0.0;0.0;0.0;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-I9505;315.41053800000003;77.03005131232085;17.908241181590864;31.665217895952804;12.481983363268293;5.953393766935766;18.66784673164495;14.589241087779033;54.61638023384417;2.5948145791606834;0.1367372897050584;2.1473122004111183;4.470081102757615;0.21833432501794836;0.257225685302561;5.9490245537810225;2.0210341162527627;1.2414178906060296;0.001216099958196745;0.1938538504461557;1.1298511061752001;0.07544724572721526;1.4963905214960365;0.11749694682852521;5.911031162276709;0.5344035487889469;1.7020721165272659;0.1282548240837985;0.45155241042719835;0.8109098681373152;3.223184481606647;0.7709540740316044;0.7453813477565279;0.10624813949169047;6.638379797865934;1.591329613920709;0.0009749472410812253;0.0;;2.021819101688647;0.19288826613198945;0.5486089239576311;1.2798292611747084;0.024746759145440212;0.007626194886275972;0.3166668543516276;10.320513943071088;14.557655642642107;0.01115737002121863;0.8004537733971826;;0.5172835263371045;0.02868873754800296;0.01835635109314576;3.29151561608005;;0.02378070144452109;;0.006952828648697525;;0.0038023037600886625;;1.2358121302038727;0.0;;0.0;0.0;0.0;2.5791213619531486;0.7780040345789152;7.677906074657991;15.939752415055793;4.132200799557778;;1.4223460658355342;4.789629442860487;0.002889720646835026;2.813371959395631;0.0;;;;8.364026852457632;7.327404023319547;4.823453031516628;0.8730387212455242;0.07952393440379935;0.00526912323676661;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
SM-N910H;149.9737386666667;6.243518598024879;6.996707707449572;9.31682447472854;0.875012118763553;1.040029853180027;2.8785526633961958;1.4238231628675617;2.651265443105869;;0.7601316666185054;0.1741384744677404;1.1265807118278792;;0.9546071431510854;0.7723636701092489;0.3218009781033179;0.09844722594394092;;0.27937964028082407;1.873177481871;4.878279539606518;0.27835022724038017;0.0894156402656999;1.0536268018141637;0.7002023770549075;0.2913545172862996;0.011819877356373578;0.26425090643312793;0.6928730894924756;0.9614515132683323;3.1513950931581545;0.3513827485662373;0.2013486621899049;0.07536283625136882;0.8391776737723481;0.0035426713896313956;0.3612764351691845;;0.40197367856573224;1.5713005413240095;0.39489927557874316;0.7972038199422953;0.0;;0.10572464193945887;2.1379277416772746;0.00017945585743264533;0.004012159527800591;0.10417539762097565;0.014934769405849221;0.2422316362653474;0.10001547882955321;0.07511039924704119;0.055994270466727857;;0.5205424921167263;;0.006529090358569316;0.012811606127804269;0.0013044187234362654;0.00039845799019846067;0.6380429397998019;0.005018489450701416;0.01900627755070096;0.0;0.1228766174911926;0.0;;0.24303097662889422;;;;;0.009221565299103203;0.014251514659583991;;;;;;;0.00031020286653121016;0.015733980663210377;0.16788385135981687;;;;;;;;;;;;;;;;;;;;;;;;;;
SM-G355H;171.1556276666667;38.213654901470164;1.8265117340879184;10.592503436577747;9.530046730843434;1.6903610214971245;1.4893542894062513;11.76903904968589;13.144166190940052;6.613613705356847;0.7722304151323107;3.114337766759288;1.316126315113473;;0.2240835138618779;0.41040024902010175;0.19251667665923466;;0.08562190630707563;0.7549640807109194;0.2564942731450363;2.2767659140236236;0.0410531194808512;0.4153648052967349;1.2167466808617213;0.1405034249255852;0.019779822174832505;1.1197427584024506;0.0016819522860147494;0.03474227825687935;0.5635833640712152;1.1410293940477663;0.01025456954526923;0.0025391712399462658;0.1653530139641578;0.17482968736727122;;;;4.220460846166766;0.0;1.492958294329626;0.04412152538744263;0.00324843839058504;;0.010243505623501585;0.10551362475105208;;0.06565309621638965;0.021314360403718417;;0.007881023602029262;0.5638444920198562;0.015569798843997831;0.02231179098292165;4.1190126953625317e-05;0.011771976998812727;;0.0022292716130363176;;;;0.0;0.0013299598392924842;;;0.008263244047212804;;6.9134406259723775;;;0.18421481566158815;;;;0.05714386630077529;0.032888072648582616;0.015348390535855237;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
Moto G (4);223.788592;54.20490955541869;17.904065989924238;21.44359294794536;7.81460890995848;4.381030528163707;14.409984789807979;0.07894111835425925;10.666816363575787;1.1288273062770708;0.019826500506700852;1.466057957368253;4.054522858608912;1.4513007555998185;3.925528797115363;6.076104205134391;;0.0062861540426727685;0.003051195393686349;0.26489225513171083;0.07606317049211833;0.3334187942338076;0.8360029176111813;0.13810841598763404;4.7404942953552505;1.8424969063722296;1.890929724787427;0.018937933062691304;2.5686734947950796;1.5033995877385857;0.9931258721543179;0.18607441872645544;1.4980715494673822;;0.4391789305567126;1.140085546724343;0.024627221288076897;;;1.3747744701001046;1.1194449625688367;0.6183654596832494;0.49987514392645216;0.012990743926217803;;0.14185158754109323;15.94442926293049;;;0.4104636725089058;;0.2256646993359972;;0.003091434935758465;0.7624465280690832;;0.000700397581430313;;0.0;;0.0016960226554698164;;0.0;;0.03833654085072673;0.0;0.00038994907748269924;3.742189801223999;3.8561469293732094;0.230207390190443;0.03868679719458182;9.21570283400404;;0.033245674324373496;;0.0;0.012506464208188541;;0.004616738403643276;;;;;0.21174254086611372;;;;;;;0.02504247373776424;0.021384969316050453;0.0;0.0;0.0;;;;;;;;;;;;;;;;
Z981;153.54850000000005;52.965566508276304;3.9784360076538032;38.764326297222425;11.625004082917986;5.3493451220244665;30.643873287263013;7.333220592772224;11.757807673392461;1.2339174210323631;0.0;26.624227686143918;11.691150372640735;0.0;0.4020102668243862;4.459910944355748;;0.0;;14.829559769060417;0.006664071237353635;0.25359141536078195;0.0;0.0;15.42352822320868;0.6197808088580876;0.031598360191840855;0.0;0.16081268795920342;0.0;0.024249107930182714;0.0;1.464247462104072;;0.15476319611745845;0.29353761179690435;0.9928357734659099;;;2.285160024940378;9.620148996100063;0.8232584805387007;0.0;0.07681536934612375;;0.0;0.0;;;0.43911910728292214;;0.12642624995933022;;0.0;3.9003982324609248;;0.0;;0.04811912933527085;;0.040990369433749306;;0.0;;0.0;;0.0;0.0;0.4359039908484895;0.17394032507360913;;;;0.0;;;0.0;0.0;0.0;0.0;;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;;;;;;;
Lenovo Z90a40;82.00349999999999;1.8147469522477107;0.32661064516652716;13.714332468952472;0.0;0.17194764279527122;0.4885084910261442;0.0;1.2047065282850078;0.0;0.0;0.0;12.047926074516212;0.0;0.0;0.14402765499555115;;0.0;0.011539405395582505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.10890354607028058;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;0.0;0.0;;0.0;;;;;;;;;;;0.0;;;;0.0;;;;;;;;;;;;;;;
i5E;261.7555336666667;39.458819365316906;13.316374612106474;4.408357900872204;3.3462140699433034;2.3822122235454697;3.398591052362589;1.5539306971881348;0.0;0.009460259529615003;0.04417024557065607;0.3638849508600133;0.941148234028552;0.6647127197894667;0.46870426285106886;0.6824071112108251;;0.001678627496513922;0.013934812328341683;5.682688598024556;0.16464587619686855;6.7189117933214115;0.17199697034858147;0.1901374506097671;2.078998935730016;;0.08891707299437457;0.0;;;;9.49137004309028;0.0008915837309572901;;;;;;;2.732675753466114;0.6681997327397385;0.034677171634454496;0.0004266777504921589;0.0;;0.3868433693925411;0.21611547832629882;;;1.0428007701289495;;0.1775383213186464;0.001035931577148677;0.005610723094103851;0.38923278140901113;;0.01471098561395502;;0.0;;;;0.0;;;0.008932175496270324;;0.0;0.15034193908162413;;;;;;;0.00034812498282906434;0.00664915848527031;0.6250969339944509;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
