;base_value;screen_on;voltage;battery_level;up_time;usage;network_status_disconnected;temperature;system_size_partition_busy;network_status_WIFI;screen_brightness;ram_busy_percent;whatsapp_0;user_storage_busy_percent;com.google.android.googlequicksearchbox:interactor_0;youtube_1;network_status_hspap;com.facebook.lite:fbns_0;messenger_0;google play store_1;com.sec.spp.push:remotedlcprocess_0;bluetooth share_1;network_status_0;location_enabled;power_saver_enabled;google play music_1;network_status_disconnecting;fused location_1;com.instagram.android:mqtt_0;google play services_1;shareit_0;com.facebook.orca:videoplayer_0;network_status_lte;samsung push service_1;beaconmanager_1;com.facebook.katana:videoplayer_0;network_status_hsupa;google play música_1;com.samsung.android.email.provider:service_0;layanan google play_1;network_status_edge;network_status_utms;google backup transport_1;lite_0;com.android.chrome:privileged_process0_0;com.instagram.android:videoplayer_0;com.lenovo.anyshare.gps:transfer_0;roaming_enabled;com.sec.phone_1;ims service_1;developer_mode;com.google.android.googlequicksearchbox:search_0;network_status_gprs;health_Good;secvideoengineservice_1;org.simalliance.openmobileapi.service:remote_0;network_status_hsdpa;com.android.systemui.recents_0;nfc_enabled;battery double_0;bluetooth_enabled;health_Unspecifiedfailure;bootagent_1;os_version_6.0.1;battery analytics_0;csc_1;system ui_1;health_Unknown;com.google.android.gms.persistent_0;com.facebook.katana:notification_0;os_version_5.1.1;os_version_7.1.2;network_status_19;network_status_hspa;batteryhub_0;com.android.smspush_1;com.qualcomm.qcrilmsgtunnel_1;android services library_1;com.qualcomm.qti.tetherservice_1;facebook_0;os_version_5.1;os_version_6.0;os_version_4.2.2;os_version_4.4.2;os_version_4.3;os_version_5.0.1;os_version_5.0.2;bluetooth_1;context service_1;com.android.systemui.imagewallpaper_0;os_version_7;network_status_1xrtt;network_status_connecting;network_status_ehrpd;com.qualcomm.atfwd_1;health_Overheat;network_status_evdo_a;os_version_4.4.4;network_status_30;os_version_10.1.2;os_version_5;os_version_6;network_status_16;os_version_4.1.2;os_version_7.1.1;health_Overvoltage;os_version_4.1.1;os_version_9.0.1;network_status_17;os_version_7.1;os_version_5.0
SM-G532F;319.14325;55.272220611572266;44.415401458740234;32.56772994995117;21.59827423095703;20.726402282714844;17.181169509887695;15.047295570373535;7.844610214233398;7.6925811767578125;7.588319301605225;7.288773536682129;3.8466687202453613;3.5408730506896973;3.4102773666381836;3.128246545791626;2.829944610595703;2.377729654312134;2.171771287918091;1.2886569499969482;1.2012627124786377;1.000969648361206;0.9337549805641174;0.8953453302383423;0.8874552845954895;0.8585507869720459;0.7694510221481323;0.7442381978034973;0.7342932820320129;0.6723291277885437;0.6366763114929199;0.6139352321624756;0.5966674089431763;0.591296374797821;0.5578185319900513;0.5307250618934631;0.5017096400260925;0.4006398022174835;0.33568766713142395;0.2692517936229706;0.2626926898956299;0.2561701238155365;0.2400006651878357;0.23929165303707123;0.203415185213089;0.19499583542346954;0.18744096159934998;0.12202232331037521;0.10708510875701904;0.09637931734323502;0.07521211355924606;0.04705941304564476;0.021863730624318123;0.010689763352274895;0.006375994998961687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Redmi Note 3;110.24992;0.03014364093542099;1.387044906616211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S5E_NXT;72.489944;0.0;22.100698471069336;0.0018746407004073262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;;0.0;;;;0.0;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT-I9505;119.02786;9.550007820129395;8.827735900878906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.5082697868347168;0.0;0.0;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;
SM-N910H;170.28271;13.121576309204102;33.808895111083984;17.038646697998047;10.265753746032715;17.38983917236328;5.408206462860107;8.016279220581055;2.9930388927459717;0.6460841298103333;3.2779440879821777;3.0086426734924316;;4.774255752563477;0.14072702825069427;0.23875485360622406;1.7821727991104126;0.0025619494263082743;0.5776835680007935;1.0772894620895386;0.7187124490737915;1.2966505289077759;;0.8264314532279968;0.5318623781204224;1.0464667081832886;0.0788271576166153;0.40679219365119934;0.08188624680042267;0.25201937556266785;5.668600559234619;0.230470210313797;;1.028968095779419;0.2559313476085663;1.1131335496902466;;0.7206286191940308;;1.321212887763977;0.0;1.315310001373291;0.013131186366081238;0.5795320272445679;0.6072244048118591;0.7943450212478638;2.3737986087799072;0.0;0.009728732518851757;;0.10540971904993057;0.28434503078460693;0.0;0.028898684307932854;;0.0;0.41673001646995544;0.12478193640708923;0.15014752745628357;0.7181346416473389;0.03679210692644119;0.028409356251358986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.054107427597046;0.0;;;;;;;;;;;;;;;;;0.0;0.0;0.27138620615005493;;;;;;;;;;;;;;;;;;;;;
SM-G355H;106.71681;2.376434087753296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;;0.0;;0.0;0.0;0.0;0.0;;;;;0.0;;0.0;;;;;0.0;0.0;0.0;;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moto G (4);94.752335;0.41769930720329285;0.0;0.0;0.0;0.0;0.0;0.010631061159074306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;;0.0;;0.0;0.06508102267980576;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;
Z981;32.23828;0.1416470855474472;3.6743831634521484;0.0;0.1902613788843155;0.0;0.0;0.0;0.0003159786865580827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;;0.0;;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
Lenovo Z90a40;90.33308;2.9737489223480225;12.559246063232422;14.928742408752441;2.740673542022705;2.254507303237915;0.20041310787200928;2.313054323196411;0.08777744323015213;0.22306008636951447;1.61484956741333;2.729214906692505;1.782410740852356;1.4179896116256714;0.0;0.30196645855903625;0.0046920389868319035;0.3163242042064667;0.03332186117768288;1.0270286798477173;;0.0013180720852687955;0.00117027189116925;0.3075229823589325;0.24563278257846832;0.0;0.007048472762107849;0.14871647953987122;0.2292274385690689;0.012425453402101994;0.08749748766422272;0.028634143993258476;0.5171753168106079;;;0.045268263667821884;0.0;;;0.05668506398797035;0.0;0.0;0.2435251921415329;0.08225751668214798;0.34784767031669617;1.1316168308258057;0.842523455619812;0.0;;;0.07270723581314087;1.9457350969314575;0.0;0.0;;;0.0;;0.0;0.9355621337890625;0.02438468299806118;;;0.0;0.07693295180797577;;0.0;;0.0;0.009961891919374466;0.04112621769309044;;;0.019646508619189262;;0.0;0.004224906209856272;;;0.0005432077450677752;0.0;;;;;;;;;;;;;;0.1176106408238411;0.0;;;;;;;;;;;;;;;
i5E;347.74814;90.65026092529297;24.827714920043945;18.420400619506836;20.432937622070312;39.77131652832031;27.538288116455078;0.0;1.4764420986175537;11.18452262878418;11.591245651245117;5.655423641204834;0.0;17.64834976196289;0.14023208618164062;;0.6463967561721802;0.22729988396167755;1.0921140909194946;3.0708746910095215;;;0.10592536628246307;18.90012550354004;5.751020908355713;;;0.0;0.06588029116392136;;10.222773551940918;0.0;6.141218185424805;;;0.513844907283783;;;;0.0;0.03189806640148163;0.1900825798511505;0.0;2.1548538208007812;1.1153498888015747;7.093975067138672;12.135411262512207;0.0;;;1.3373997211456299;2.924813985824585;0.08475250005722046;0.0;;;;;0.0;0.0;0.8267697095870972;;;;0.0;;;;0.0;;;;;0.13239625096321106;;0.7187389731407166;;;;1.823516845703125;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
